State,Location,Year,Season,Saprobic_Score,Biological_Quality
UTTARAKHAND,Jagjeetpur U/S,2022-23,Pre,5.8,Good
UTTARAKHAND,Jagjeetpur U/S,2023-24,Post,5.5,Good
UTTARAKHAND,Jagjeetpur U/S,2023-24,Pre,4.9,Moderate
UTTARAKHAND,Jagjeetpur U/S,2024-25,Post,3.0,Moderate
UTTARAKHAND,Uttarkashi D/S,2023-24,Post,6.3,Good
UTTARAKHAND,Uttarkashi D/S,2023-24,Pre,4.5,Moderate
UTTARAKHAND,Uttarkashi D/S,2024-25,Post,7.2,Very Good
UTTARAKHAND,Uttarkashi D/S,2024-25,Pre,6.1,Good
UTTARAKHAND,Uttarkashi U/S,2023-24,Post,7.1,Very Good
UTTARAKHAND,Uttarkashi U/S,2024-25,Post,7.0,Very Good
UTTARAKHAND,Uttarkashi U/S,2024-25,Pre,7.1,Very Good
WEST BENGAL,Ballykhal,2017-18,Post,4.9,Moderate
WEST BENGAL,Ballykhal,2017-18,Pre,5.2,Good
WEST BENGAL,Ballykhal,2018-19,Pre,5.5,Good
WEST BENGAL,Ballykhal,2019-20,Post,6.0,Good
WEST BENGAL,Ballykhal,2019-20,Pre,5.2,Good
WEST BENGAL,Ballykhal,2020-21,Post,5.3,Good
WEST BENGAL,Ballykhal,2021-22,Post,4.8,Moderate
WEST BENGAL,Ballykhal,2022-23,Post,5.3,Good
WEST BENGAL,Ballykhal,2022-23,Pre,4.8,Moderate
WEST BENGAL,Ballykhal,2023-24,Post,5.1,Good
WEST BENGAL,Ballykhal,2023-24,Pre,5.7,Good
WEST BENGAL,Ballykhal,2024-25,Post,4.3,Moderate
WEST BENGAL,Ballykhal,2024-25,Pre,4.9,Moderate
WEST BENGAL,Beharampore U/S,2017-18,Post,4.2,Moderate
WEST BENGAL,Beharampore U/S,2017-18,Pre,5.6,Good
WEST BENGAL,Beharampore U/S,2018-19,Pre,5.2,Good
WEST BENGAL,Beharampore U/S,2019-20,Post,5.0,Good
WEST BENGAL,Beharampore U/S,2019-20,Pre,5.9,Good
WEST BENGAL,Beharampore U/S,2020-21,Post,4.5,Moderate
WEST BENGAL,Beharampore U/S,2021-22,Post,4.8,Moderate
WEST BENGAL,Beharampore U/S,2022-23,Post,4.9,Moderate
WEST BENGAL,Beharampore U/S,2022-23,Pre,5.9,Good
WEST BENGAL,Beharampore U/S,2023-24,Post,5.2,Good
WEST BENGAL,Beharampore U/S,2023-24,Pre,6.0,Good
WEST BENGAL,Beharampore U/S,2024-25,Post,4.7,Moderate
WEST BENGAL,Beharampore U/S,2024-25,Pre,5.3,Good
WEST BENGAL,Behrampore D/S,2017-18,Post,5.6,Good
WEST BENGAL,Behrampore D/S,2017-18,Pre,5.7,Good
WEST BENGAL,Behrampore D/S,2018-19,Pre,5.0,Good
WEST BENGAL,Behrampore D/S,2019-20,Post,5.3,Good
WEST BENGAL,Behrampore D/S,2019-20,Pre,5.5,Good
WEST BENGAL,Behrampore D/S,2020-21,Post,4.8,Moderate
WEST BENGAL,Behrampore D/S,2021-22,Post,5.0,Good
WEST BENGAL,Behrampore D/S,2022-23,Post,4.6,Moderate
WEST BENGAL,Behrampore D/S,2022-23,Pre,5.5,Good
WEST BENGAL,Behrampore D/S,2023-24,Post,5.1,Good
WEST BENGAL,Behrampore D/S,2023-24,Pre,5.1,Good
WEST BENGAL,Behrampore D/S,2024-25,Post,5.0,Good
WEST BENGAL,Behrampore D/S,2024-25,Pre,6.1,Good
WEST BENGAL,Belgharia,2017-18,Post,4.9,Moderate
WEST BENGAL,Belgharia,2017-18,Pre,5.4,Good
WEST BENGAL,Belgharia,2018-19,Pre,5.5,Good
WEST BENGAL,Belgharia,2019-20,Post,4.6,Moderate
WEST BENGAL,Belgharia,2019-20,Pre,4.9,Moderate
WEST BENGAL,Belgharia,2020-21,Post,4.2,Moderate
WEST BENGAL,Belgharia,2021-22,Post,4.6,Moderate
WEST BENGAL,Belgharia,2022-23,Post,5.3,Good
WEST BENGAL,Belgharia,2022-23,Pre,4.9,Moderate
WEST BENGAL,Belgharia,2023-24,Post,5.1,Good
WEST BENGAL,Belgharia,2023-24,Pre,5.5,Good
WEST BENGAL,Belgharia,2024-25,Post,4.2,Moderate
WEST BENGAL,Belgharia,2024-25,Pre,4.8,Moderate
WEST BENGAL,Garden Reach,2017-18,Post,5.2,Good
WEST BENGAL,Garden Reach,2017-18,Pre,6.0,Good
WEST BENGAL,Garden Reach,2018-19,Pre,5.3,Good
WEST BENGAL,Garden Reach,2019-20,Post,4.9,Moderate
WEST BENGAL,Garden Reach,2020-21,Post,5.2,Good
WEST BENGAL,Garden Reach,2021-22,Post,4.6,Moderate
WEST BENGAL,Garden Reach,2022-23,Post,5.3,Good
WEST BENGAL,Garden Reach,2022-23,Pre,5.6,Good
WEST BENGAL,Garden Reach,2023-24,Post,4.2,Moderate
WEST BENGAL,Garden Reach,2023-24,Pre,5.3,Good
WEST BENGAL,Garden Reach,2024-25,Post,5.3,Good
WEST BENGAL,Garden Reach,2024-25,Pre,4.7,Moderate
WEST BENGAL,Howrah Bridge,2017-18,Post,5.6,Good
WEST BENGAL,Howrah Bridge,2017-18,Pre,6.0,Good
WEST BENGAL,Howrah Bridge,2018-19,Pre,6.0,Good
WEST BENGAL,Howrah Bridge,2019-20,Post,4.8,Moderate
WEST BENGAL,Howrah Bridge,2019-20,Pre,6.0,Good
WEST BENGAL,Howrah Bridge,2020-21,Post,4.4,Moderate
WEST BENGAL,Howrah Bridge,2021-22,Post,4.9,Moderate
WEST BENGAL,Howrah Bridge,2022-23,Post,5.0,Good
WEST BENGAL,Howrah Bridge,2023-24,Post,5.2,Good
WEST BENGAL,Howrah Bridge,2023-24,Pre,4.7,Moderate
WEST BENGAL,Howrah Bridge,2024-25,Post,4.8,Moderate
WEST BENGAL,Howrah Bridge,2024-25,Pre,5.2,Good
WEST BENGAL,Kharda Khal D/S,2017-18,Post,5.1,Good
WEST BENGAL,Kharda Khal D/S,2017-18,Pre,6.3,Good
WEST BENGAL,Kharda Khal D/S,2018-19,Pre,5.4,Good
WEST BENGAL,Kharda Khal D/S,2019-20,Post,5.0,Good
WEST BENGAL,Kharda Khal D/S,2019-20,Pre,4.4,Moderate
WEST BENGAL,Kharda Khal D/S,2020-21,Post,5.4,Good
WEST BENGAL,Kharda Khal D/S,2021-22,Post,4.6,Moderate
WEST BENGAL,Kharda Khal D/S,2022-23,Post,4.9,Moderate
WEST BENGAL,Kharda Khal D/S,2022-23,Pre,5.0,Good
WEST BENGAL,Kharda Khal D/S,2023-24,Post,4.8,Moderate
WEST BENGAL,Kharda Khal D/S,2023-24,Pre,5.3,Good
WEST BENGAL,Kharda Khal D/S,2024-25,Post,4.2,Moderate
WEST BENGAL,Kharda Khal D/S,2024-25,Pre,5.9,Good
WEST BENGAL,Khiddirpur Bridge Murshidabad,2017-18,Post,4.8,Moderate
WEST BENGAL,Khiddirpur Bridge Murshidabad,2017-18,Pre,5.4,Good
WEST BENGAL,Khiddirpur Bridge Murshidabad,2018-19,Pre,5.3,Good
WEST BENGAL,Khiddirpur Bridge Murshidabad,2019-20,Post,5.4,Good
WEST BENGAL,Khiddirpur Bridge Murshidabad,2019-20,Pre,5.2,Good
WEST BENGAL,Khiddirpur Bridge Murshidabad,2020-21,Post,5.2,Good
WEST BENGAL,Khiddirpur Bridge Murshidabad,2021-22,Post,5.0,Good
WEST BENGAL,Khiddirpur Bridge Murshidabad,2022-23,Post,5.0,Good
WEST BENGAL,Khiddirpur Bridge Murshidabad,2022-23,Pre,5.1,Good
WEST BENGAL,Khiddirpur Bridge Murshidabad,2023-24,Post,5.2,Good
WEST BENGAL,Khiddirpur Bridge Murshidabad,2023-24,Pre,4.9,Moderate
WEST BENGAL,Khiddirpur Bridge Murshidabad,2024-25,Post,5.2,Good
WEST BENGAL,Khiddirpur Bridge Murshidabad,2024-25,Pre,4.6,Moderate
WEST BENGAL,Srerampore,2022-23,Post,4.7,Moderate
WEST BENGAL,Srerampore,2023-24,Post,4.4,Moderate
WEST BENGAL,Srerampore,2023-24,Pre,4.7,Moderate
WEST BENGAL,Srerampore,2024-25,Post,4.8,Moderate
WEST BENGAL,Srerampore,2024-25,Pre,4.5,Moderate
